State,Year,Quarter,District,Transaction_Count,Transaction_Amount
andhra-pradesh,2018,3,chittoor district,2297429,3283517631
andhra-pradesh,2018,3,guntur district,1912529,3127764663
andhra-pradesh,2018,3,krishna district,2396934,3754202654
andhra-pradesh,2018,4,east godavari district,3052762,4652624623
andhra-pradesh,2018,4,srikakulam district,1252807,1870278610
andhra-pradesh,2018,4,spsr nellore district,1814997,3293448557
andhra-pradesh,2018,4,vizianagaram district,1386787,1817673253
andhra-pradesh,2018,4,visakhapatnam district,4791421,7366635865
andhra-pradesh,2018,4,prakasam district,1692862,3255254226
andhra-pradesh,2018,4,anantapur district,2286391,3975878156
andhra-pradesh,2018,4,ysr district,1732527,3252340063
andhra-pradesh,2018,4,west godavari district,1688482,3237504255
andhra-pradesh,2018,4,kurnool district,2508530,3626544852
andhra-pradesh,2018,4,chittoor district,3166201,4979093890
andhra-pradesh,2018,4,guntur district,2546620,4730251218
andhra-pradesh,2018,4,krishna district,2839161,5416251838
andhra-pradesh,2019,1,east godavari district,5440146,7382264725
andhra-pradesh,2019,1,srikakulam district,2526855,3407912878
andhra-pradesh,2019,1,spsr nellore district,3333584,5161932216
andhra-pradesh,2019,1,vizianagaram district,2798241,3364576948
andhra-pradesh,2019,1,visakhapatnam district,9690866,13459857441
andhra-pradesh,2019,1,prakasam district,2931081,4807527779
andhra-pradesh,2019,1,anantapur district,3891336,6044730653
andhra-pradesh,2019,1,ysr district,2852197,4915811594
andhra-pradesh,2019,1,west godavari district,2829437,4623764455
andhra-pradesh,2019,1,kurnool district,4193432,5541564893
andhra-pradesh,2019,1,chittoor district,6486813,8223371732
andhra-pradesh,2019,1,guntur district,4846553,7765934169
andhra-pradesh,2019,1,krishna district,5443981,9061346433
andhra-pradesh,2019,2,east godavari district,4699261,9116404622
andhra-pradesh,2019,2,srikakulam district,2019203,4066576540
andhra-pradesh,2019,2,spsr nellore district,3141891,6880873007
andhra-pradesh,2019,2,vizianagaram district,2272320,4443041665
andhra-pradesh,2019,2,visakhapatnam district,11705738,20797479804
andhra-pradesh,2019,2,prakasam district,2670529,6262396448
andhra-pradesh,2019,2,anantapur district,3578836,7830782361
andhra-pradesh,2019,2,ysr district,2606284,6376856828
andhra-pradesh,2019,2,west godavari district,2402074,5676818259
andhra-pradesh,2019,2,kurnool district,3895824,7358285187
andhra-pradesh,2019,2,chittoor district,5983308,10982727976
andhra-pradesh,2019,2,guntur district,5005275,10405246943
andhra-pradesh,2019,2,krishna district,6428472,13437029116
andhra-pradesh,2019,3,east godavari district,6537303,11387726471
andhra-pradesh,2019,3,srikakulam district,2556296,4610131290
andhra-pradesh,2019,3,spsr nellore district,4150195,8256600119
andhra-pradesh,2019,3,vizianagaram district,2861581,4922069039
andhra-pradesh,2019,3,visakhapatnam district,16694947,26944837120
andhra-pradesh,2019,3,prakasam district,3430750,7354502261
andhra-pradesh,2019,3,anantapur district,4889720,9554081289
andhra-pradesh,2019,3,ysr district,3296586,7447544274
andhra-pradesh,2019,3,west godavari district,3179541,6627629029
andhra-pradesh,2019,3,kurnool district,5139134,9025632779
andhra-pradesh,2019,3,chittoor district,8201783,13837455759
andhra-pradesh,2019,3,guntur district,6942304,13075661264
andhra-pradesh,2019,3,krishna district,8408474,16404073561
andhra-pradesh,2019,4,east godavari district,9285739,16816774065
andhra-pradesh,2019,4,srikakulam district,3712555,6832369302
andhra-pradesh,2019,4,spsr nellore district,5877804,11786014089
andhra-pradesh,2019,4,vizianagaram district,3998234,7175851807
andhra-pradesh,2019,4,visakhapatnam district,23594874,39133296330
andhra-pradesh,2019,4,prakasam district,4865473,10604077825
andhra-pradesh,2019,4,anantapur district,6764112,13887248889
andhra-pradesh,2019,4,ysr district,4793157,10865073856
andhra-pradesh,2019,4,west godavari district,4596479,9710614747
andhra-pradesh,2019,4,kurnool district,7001958,13233105729
andhra-pradesh,2019,4,chittoor district,11246986,19298476028
andhra-pradesh,2019,4,guntur district,9761330,18565626418
andhra-pradesh,2019,4,krishna district,11719402,23039786404
andhra-pradesh,2020,1,east godavari district,11346242,21854701379
andhra-pradesh,2020,1,srikakulam district,4835092,9777575594
andhra-pradesh,2020,1,spsr nellore district,7430247,15387829694
andhra-pradesh,2020,1,vizianagaram district,5042066,9879174241
andhra-pradesh,2020,1,visakhapatnam district,27115031,48809747615
andhra-pradesh,2020,1,prakasam district,6318396,14169104765
andhra-pradesh,2020,1,anantapur district,8466129,17864325753
andhra-pradesh,2020,1,ysr district,6031255,14059924637
andhra-pradesh,2020,1,west godavari district,5919670,12995834341
andhra-pradesh,2020,1,kurnool district,8246869,17022710312
andhra-pradesh,2020,1,chittoor district,13257740,23441848567
andhra-pradesh,2020,1,guntur district,11493331,22992734621
andhra-pradesh,2020,1,krishna district,12175289,24481702771
andhra-pradesh,2020,2,east godavari district,13130334,26319906327
andhra-pradesh,2020,2,srikakulam district,6425515,12153650077
andhra-pradesh,2020,2,spsr nellore district,9454274,20665376461
andhra-pradesh,2020,2,vizianagaram district,6690313,12819344390
andhra-pradesh,2020,2,visakhapatnam district,25300401,48293889917
andhra-pradesh,2020,2,prakasam district,8844580,19846026727
andhra-pradesh,2020,2,anantapur district,10473739,22094006659
andhra-pradesh,2020,2,ysr district,8033609,19597207268
andhra-pradesh,2020,2,west godavari district,7273096,16585866855
